repository,commit,type,before,after
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File curl_darwinssl.h at lib/curl_darwinssl.h:1}","{File curl_darwinssl.h at lib/vtls/curl_darwinssl.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File cyassl.c at lib/cyassl.c:1}","{File cyassl.c at lib/vtls/cyassl.c:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File polarssl.h at lib/polarssl.h:1}","{File polarssl.h at lib/vtls/polarssl.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File ssluse.h at lib/ssluse.h:1}","{File ssluse.h at lib/vtls/ssluse.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File axtls.h at lib/axtls.h:1}","{File axtls.h at lib/vtls/axtls.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File nss.c at lib/nss.c:1}","{File nss.c at lib/vtls/nss.c:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File gtls.h at lib/gtls.h:1}","{File gtls.h at lib/vtls/gtls.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File qssl.h at lib/qssl.h:1}","{File qssl.h at lib/vtls/qssl.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File gtls.c at lib/gtls.c:1}","{File gtls.c at lib/vtls/gtls.c:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File polarssl_threadlock.h at lib/polarssl_threadlock.h:1}","{File polarssl_threadlock.h at lib/vtls/polarssl_threadlock.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File cyassl.h at lib/cyassl.h:1}","{File cyassl.h at lib/vtls/cyassl.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File gskit.c at lib/gskit.c:1}","{File gskit.c at lib/vtls/gskit.c:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File axtls.c at lib/axtls.c:1}","{File axtls.c at lib/vtls/axtls.c:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File nssg.h at lib/nssg.h:1}","{File nssg.h at lib/vtls/nssg.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File curl_schannel.h at lib/curl_schannel.h:1}","{File curl_schannel.h at lib/vtls/curl_schannel.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File polarssl_threadlock.c at lib/polarssl_threadlock.c:1}","{File polarssl_threadlock.c at lib/vtls/polarssl_threadlock.c:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File gskit.h at lib/gskit.h:1}","{File gskit.h at lib/vtls/gskit.h:1})"
"curl","a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE","{File curl_schannel.c at lib/curl_schannel.c:1}","{File curl_schannel.c at lib/vtls/curl_schannel.c:1})"
